country,year,P_it,qty_standardized_kg,qty_ln,g_it
ARG,2006,0.15368212342501958,1607164825.0,21.197737485336997,0.026122927079121894
ARG,2007,0.10565215749045928,1527138781.0,21.14666174379446,-0.05107574154253669
ARG,2008,0.3116207691113956,1164662577.0,20.875697248535804,-0.2709644952586565
ARG,2009,0.18965901726041834,2170567727.0,21.49825459562646,0.6225573470906554
ARG,2010,0.27988055268887324,2866449456.0,21.776339977504193,0.2780853818777338
ARG,2011,0.4806635392903118,5199830621.0,22.371891889118668,0.595551911614475
ARG,2012,0.5952325130253916,6399455009.0,22.57947866884241,0.20758677972374073
ARG,2013,0.6787863645952953,9019388325.0,22.92264235552862,0.34316368668621067
ARG,2014,0.6507675478031058,8777385618.51,22.895444434706917,-0.02719792082170258
ARG,2015,0.4217138659890915,8389388263.514,22.85023344219445,-0.045210992512465964
ARG,2016,0.22435512575138236,8518936007.72,22.86555728826626,0.015323846071808589
ARG,2017,0.26509202540710425,8443031128.729,22.85660721955449,-0.008950068711769177
ARG,2018,0.34092331381085816,7197303389.0,22.69697226350925,-0.1596349560452417
ARG,2019,0.33267875778996875,5109958991.35,22.354457215953698,-0.3425150475555512
ARG,2020,0.218677840317252,5472470182.09,22.422995938664858,0.06853872271116046
ARG,2021,0.3530968870508437,6097575395.22,22.531157052917635,0.10816111425277697
ARG,2022,0.9361699210975375,4560664131.48,22.240734092736233,-0.29042296018140235
ARG,2023,0.7426952592877943,3605867580.76,22.005828239134246,-0.2349058536019868
ARG,2024,0.6207488796228553,1083226738.24,20.803210144308025,-1.2026180948262208
ARM,2001,0.08535565799222096,1002592400.0,20.725854882473705,
ARM,2002,0.08220842210842295,775097312.0,20.468499143306104,-0.25735573916760046
ARM,2003,0.08210634738249731,859693693.0,20.572086712837663,0.1035875695315589
ARM,2004,0.08146038600362768,965269892.0,20.687918301028883,0.11583158819122019
ARM,2005,0.08086266495338115,1198906616.0,20.904675825054515,0.2167575240256312
ARM,2006,0.13310867300167012,1214489735.0,20.917589854332906,0.012914029278391581
ARM,2007,0.15941882998533863,1449424538.0,21.09443244426019,0.17684258992728275
ARM,2008,0.15915997657247044,1587344491.0,21.185328325507683,0.09089588124749426
ARM,2009,0.1953889039461362,1203953276.0,20.908876375771047,-0.2764519497366358
ARM,2010,0.2470254998739998,1374489772.0,21.041348424290526,0.13247204851947814
ARM,2011,0.2736143004207241,1504699562.0,21.13185908864114,0.09051066435061372
ARM,2012,0.2910578883045027,1787561959.0,21.304118494309332,0.17225940566819276
ARM,2013,0.3335867138881235,1725567827.0,21.26882200833597,-0.03529648597336177
ARM,2014,0.26172591587281063,1785402712.0,21.302909835695726,0.03408782735975535
ARM,2015,0.2620863633744177,1651607281.0,21.2250147604189,-0.0778950752768246
ARM,2016,0.2156560204529498,1613636778.0,21.201756336858164,-0.02325842356073693
ARM,2017,0.20132040123907102,1779664720.44,21.299690824205193,0.09793448734702892
ARM,2018,0.2106922470333921,1783421331.0679998,21.30179945249293,0.0021086282877362805
ARM,2019,0.2314664832668521,1866979772.28,21.34758786710344,0.04578841461050942
ARM,2020,0.23146614620309883,1922749472.83,21.37702201572639,0.029434148622950573
ARM,2021,0.23256968696363273,2107508293.79,21.468772183201462,0.09175016747507314
ARM,2022,0.24468199489825196,2214403452.552,21.51824888252297,0.04947669932150589
ARM,2023,0.24706923328874494,2078544505.984,21.454933728977156,-0.06331515354581185
ARM,2024,0.255762834187208,2175046657.2200003,21.50031595285238,0.045382223875222394
ATG,2005,0.8476855969872115,4701558.0,15.36340450111153,
ATG,2006,1.0649485706677186,5662819.0,15.549432382727478,0.18602788161594752
