year,country,vul_us,us_import_share,hhi_imports
2001,KOR,0.000540623231043332,0.0051606647049903314,0.10475844914329593
2001,KWT,0.023017397450116474,0.11135640763332494,0.20670025137581935
2001,LBN,0.0004948010331342554,0.0031914602474661965,0.15503907138655226
2001,LCA,0.21170795782544283,0.4170771296095359,0.5075990573341723
2001,LKA,3.256433328559324e-05,0.00011692535614958226,0.27850531619449403
2001,LTU,1.9906006439194886e-05,2.1638440798446184e-05,0.9199371906974138
2001,LUX,2.4686734975267737e-05,3.760867294311796e-05,0.6564106904969956
2001,LVA,0.00011222724554889798,0.00031378859731916815,0.35765240199199055
2001,MAC,0.0054934139397911745,0.014235968941887087,0.3858826864694593
2001,MAR,0.001068184113719183,0.007273661070928013,0.14685645967043914
2001,MDA,9.44059449187243e-05,0.00032644857539041545,0.28919086200887756
