country,year,ovi_gas,ovi_oil
DEU,2019,4.074592999976045,1.4102465766232537
DEU,2020,4.176356800505123,1.5484549872648474
DEU,2021,3.9655528771692583,1.5608334089992748
DEU,2022,4.813255487286313,1.5279862684237322
DEU,2023,4.99734307120821,1.6240356316259712
Hungary,2001,1.5209236751358923,1.9962650743176016
Hungary,2002,1.5068675575150097,2.117608275206057
Hungary,2003,1.3705198814661326,2.1651845350905337
Hungary,2004,1.390858225684004,2.041167965967372
Hungary,2005,1.346961021769992,1.7774316098268343
Hungary,2006,1.4218723761491472,1.7025104435365304
Hungary,2007,1.5217482907075428,1.7009269992234883
Hungary,2008,1.5424977924606955,1.7529308293030683
Hungary,2009,1.7799686469284304,1.7980849175810614
Hungary,2010,1.6596278580677049,1.8995192291963587
Hungary,2011,1.7359504549965097,1.9464414155127017
Hungary,2012,1.945112684020356,2.0895986681808303
Hungary,2013,2.086459661386156,2.1198720407388785
Hungary,2014,2.3332821304120124,1.894675358676431
Hungary,2015,2.174959074481522,1.7713865378061926
Hungary,2016,2.0292301383268683,1.7946223804356711
Hungary,2017,1.9070946886639883,1.656546697623244
Hungary,2018,1.9688758206739865,1.547469553297538
Hungary,2019,1.9245574473232812,1.5340099449046676
Hungary,2020,1.8586672364461725,1.657065784360064
Hungary,2021,1.7525108702222283,1.523959264266324
Hungary,2022,2.0612985577101863,1.542518080954465
Hungary,2023,2.30623823531851,1.5765529838008523
ITA,2001,1.0228572463324506,0.1530463563525646
ITA,2002,1.029843110748807,0.150412073553234
ITA,2003,0.9340852332236907,0.1513983943996635
ITA,2004,0.9001642107245896,0.1524221019637993
ITA,2005,0.8411347685313362,0.1570750005530993
ITA,2006,0.8588872039600371,0.1559149892278868
ITA,2007,0.8546974576595195,0.1608264948713268
ITA,2008,0.861088912145124,0.1675564862442322
ITA,2009,0.93679535735518,0.1817289050374342
ITA,2010,0.8796011507638926,0.1838559620306932
ITA,2011,0.9380763868208924,0.1897556771878549
ITA,2012,0.9756681279201496,0.2037439372326751
ITA,2013,1.0431509802992582,0.2250993712477232
ITA,2014,1.1805742347421977,0.2214740595350186
ITA,2015,1.0824829587769933,0.2182591152435894
ITA,2016,1.0307125846813268,0.2232205098295248
ITA,2017,0.9726391976338216,0.2214742537013425
ITA,2018,1.0058696240908938,0.2161058060393333
ITA,2019,0.9834685577001532,0.220258522586193
ITA,2020,1.0295036128789865,0.2669659268465144
ITA,2021,0.9619567309171972,0.2396189181902915
