country,year,ovi_gas,lng_capacity_bcm,pipeline_capacity_bcm,total_capacity_bcm,gas_consumption_bcm
ESP,2013,0.8960668012411623,19.176000000000002,8.0,27.176000000000002,30.328096032971995
ESP,2014,0.9873600789500792,19.176000000000002,8.0,27.176000000000002,27.523899922000005
ESP,2015,0.9520812134266152,19.176000000000002,8.0,27.176000000000002,28.543783468000004
ESP,2016,0.9331906624637935,19.176000000000002,8.0,27.176000000000002,29.121594432000002
ESP,2017,0.8569595798184646,19.176000000000002,8.0,27.176000000000002,31.71211413000001
ESP,2018,0.8628054863055237,19.176000000000002,8.0,27.176000000000002,31.497249880000005
ESP,2019,0.7554245218067153,19.176000000000002,8.0,27.176000000000002,35.974474240000006
ESP,2020,0.8364360375055271,19.176000000000002,8.0,27.176000000000002,32.49023091000001
ESP,2021,0.7917423618913293,19.176000000000002,8.0,27.176000000000002,34.32429702900001
ESP,2022,0.8241605848103616,19.176000000000002,8.0,27.176000000000002,32.974156373000014
ESP,2023,1.1935190753128448,27.176000000000002,8.0,35.176,29.472507585
ESP,2024,1.240213535470188,27.176000000000002,8.0,35.176,28.362857680523643
Estonia,2020,6.045808626903848,0.0,2.6,2.6,0.43005000000000004
Estonia,2021,5.346285662324258,0.0,2.6,2.6,0.48631894444444435
Estonia,2022,6.440957886044591,0.0,2.6,2.6,0.40366666666666673
Estonia,2023,8.307571872478771,0.0,2.6,2.6,0.3129675
Estonia,2024,7.6782140842568625,0.0,2.6,2.6,0.33862040983344655
FRA,2010,0.24210901160004802,12.0,0.0,12.0,49.56445
FRA,2011,0.27894628457098186,12.0,0.0,12.0,43.019035075
FRA,2012,0.2700009077261767,12.0,0.0,12.0,44.44429502500001
FRA,2013,0.3880276953962517,12.0,5.516793893129771,17.516793893129773,45.1431537
FRA,2014,0.8050150816507934,12.0,18.516793893129773,30.516793893129773,37.908350525
FRA,2015,1.1169281715239632,12.0,33.51679389312977,45.51679389312977,40.751764575
FRA,2016,1.201816000737966,12.0,41.51679389312977,53.51679389312977,44.529939575
FRA,2017,1.4858875303226462,25.0,41.51679389312977,66.51679389312977,44.76569897500001
FRA,2018,1.5527381508037081,25.0,41.51679389312977,66.51679389312977,42.838384475
FRA,2019,1.5234466907894413,25.0,41.51679389312977,66.51679389312977,43.662042325
FRA,2020,1.6390374217870038,25.0,41.51679389312977,66.51679389312977,40.582840274999995
FRA,2021,1.5454144992783954,25.0,41.51679389312977,66.51679389312977,43.04139369999999
FRA,2022,1.7212697148182072,25.0,41.51679389312977,66.51679389312977,38.64402732500001
FRA,2023,2.099997443394832,30.0,41.51679389312977,71.51679389312977,34.055657599999996
FRA,2024,2.2370984191349716,30.0,41.51679389312977,71.51679389312977,31.96855054807266
Finland,2016,0.06774032873983066,0.136,0.0,0.136,2.0076666666666667
Finland,2017,0.07421892764564102,0.136,0.0,0.136,1.8324166666666666
Finland,2018,0.06472252333236389,0.136,0.0,0.136,2.1012777777777782
Finland,2019,0.33418426549083313,0.68,0.0,0.68,2.0348055555555558
Finland,2020,0.3282161292485084,0.68,0.0,0.68,2.0718055555555557
Finland,2021,0.32824693609375416,0.68,0.0,0.68,2.0716111111111113
Finland,2022,0.8255725190839693,0.8806106870229008,0.0,0.8806106870229008,1.0666666666666669
Finland,2023,5.055449057522792,5.880610687022901,0.0,5.880610687022901,1.1632222222222222
Finland,2024,4.6440131780113285,5.880610687022901,0.0,5.880610687022901,1.2662777777777778
GBR,2005,0.19568040142252652,19.448000000000004,0.0,19.448000000000004,99.38655
GBR,2006,0.6465928794579773,19.448000000000004,41.5,60.94800000000001,94.26024
GBR,2007,0.9162152369529871,19.448000000000004,67.867816,87.31581600000001,95.30055000000002
GBR,2008,0.8925025895672334,19.448000000000004,67.867816,87.31581600000001,97.8325632
GBR,2009,1.37518963671485,48.28,77.1698848,125.4498848,91.2236985
GBR,2010,1.5955965607054723,48.28,108.87485271407999,157.15485271408,98.49285
GBR,2011,1.9184285364482787,48.28,108.87485271407999,157.15485271408,81.9185337
GBR,2012,2.0436594058539277,48.28,108.87485271407999,157.15485271408,76.8987495
GBR,2013,2.0590014788464597,48.28,108.87485271407999,157.15485271408,76.32576000000002
GBR,2014,2.243289834825382,48.28,108.87485271407999,157.15485271408,70.0555275
GBR,2015,2.181329759550791,48.28,108.87485271407999,157.15485271408,72.04543559999999
GBR,2016,1.9669354150169216,48.28,108.87485271407999,157.15485271408,79.8983289
GBR,2017,2.0089133829173322,48.28,108.87485271407999,157.15485271408,78.2287848
GBR,2018,1.997707013973651,48.28,109.23659983408,157.51659983408,78.8486994
GBR,2019,2.022717277733604,48.28,109.23659983408,157.51659983408,77.87375999999999
GBR,2020,2.1441401833241316,48.28,109.23659983408,157.51659983408,73.46376000000001
GBR,2021,2.0507709930612403,48.57920000000001,109.23659983408,157.81579983408,76.9543749
GBR,2022,2.238898299393735,48.57920000000001,109.23659983408,157.81579983408,70.4881503
