year,country,node_dli_us,import_share_from_us
2001,NCL,0.0007351734480699773,0.000478177381364266
2001,NER,0.0009410083312431555,0.0006103661666869883
2001,NGA,2.297655290399273,0.2776500512550334
2001,NIC,1.4977334024110678,0.055406553104835526
2001,NLD,2.0340487031858525,0.00895226217139285
2001,NOR,2.3856629747040543,0.01155771073318293
2001,NZL,1.8490132669187724,0.02272666879210363
2001,OMN,2.0757341428264473,0.004478767283176463
2001,PAN,1.9401559567616897,0.14560140659501672
2001,PER,2.1400467733763575,0.06162392472842394
2001,PHL,1.891040444766457,0.002021444307276499
2001,PNG,0.012715086859361706,0.007542465628524852
2001,POL,2.0890419870360946,0.0001489904713914662
2001,PRT,2.0695313945302725,0.010111845965426674
2001,PRY,1.5218804436007152,0.005399973353404882
2001,PYF,1.462560437413405,0.006903097247765095
2001,QAT,2.167112367357892,0.03377299064766976
