year,country,hhi_imports,us_import_share
2001,NZL,0.1528707644627323,0.0227266687921036
2001,OMN,0.5315846962356566,0.0044787672831764
2001,PAN,0.2794687814743538,0.1456014065950167
2001,PER,0.1782668107987174,0.0616239247284239
2001,PHL,0.1580309553616348,0.0020214443072764
2001,PNG,0.7069569320970993,0.0075424656285248
2001,POL,0.6286379430737165,0.0001489904713914
2001,PRT,0.089331834454835,0.0101118459654266
2001,PRY,0.5097946657199802,0.0053999733534048
2001,PYF,0.8208183913029217,0.006903097247765
2001,QAT,0.3140232534986399,0.0337729906476697
2001,ROU,0.3897487510923492,0.0032059963298132
2001,RUS,0.7429249479886448,0.008298612919058
2001,RWA,0.5651166840083977,0.0004408924047674
2001,SAU,0.120746708917991,0.2135584809607482
2001,SEN,0.3659049609828587,0.0151364639258206
2001,SGP,0.1116891594527515,0.026393200417537
