country,year,P_it,g_it
ARE,2022,0.7677267332596918,0.6425523880239723
ARE,2023,0.6084489991937576,-0.14456747761892785
ARG,2001,0.10508470255744652,
ARG,2002,0.09378808173561465,0.680699984966072
ARG,2003,0.07039585952746343,-0.05113290788383651
ARG,2004,0.09782916254710575,2.287313890783466
ARG,2005,0.12131686808610292,0.6352664893201485
ARG,2006,0.15368212342501958,0.026122927079121894
ARG,2007,0.10565215749045928,-0.05107574154253669
ARG,2008,0.3116207691113956,-0.2709644952586565
ARG,2009,0.18965901726041834,0.6225573470906554
ARG,2010,0.27988055268887324,0.2780853818777338
ARG,2011,0.4806635392903118,0.595551911614475
ARG,2012,0.5952325130253916,0.20758677972374073
ARG,2013,0.6787863645952953,0.34316368668621067
ARG,2014,0.6507675478031058,-0.02719792082170258
