typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20010101,2001,52,2001,458,MYS,Malaysia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11955,TRUE,-1,N/A,,FALSE,11955,TRUE,,FALSE,3182,,3182,6,FALSE,FALSE
C,A,20010101,2001,52,2001,470,MLT,Malta,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7435,FALSE,-1,N/A,,FALSE,7435,FALSE,,FALSE,12283,,12283,0,FALSE,FALSE
C,A,20010101,2001,52,2001,478,MRT,Mauritania,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2890,FALSE,-1,N/A,,FALSE,2890,FALSE,,FALSE,3466,,3466,0,FALSE,FALSE
C,A,20010101,2001,52,2001,484,MEX,Mexico,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,16059138,TRUE,-1,N/A,,FALSE,16059138,TRUE,,FALSE,,4274474,4274474,6,FALSE,FALSE
C,A,20010101,2001,52,2001,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4775758417,TRUE,-1,N/A,,FALSE,4775758417,TRUE,,FALSE,1204451933,,1204451933,6,FALSE,FALSE
C,A,20010101,2001,52,2001,496,MNG,Mongolia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2984,TRUE,-1,N/A,,FALSE,2984,TRUE,,FALSE,794,,794,6,FALSE,FALSE
C,A,20010101,2001,52,2001,504,MAR,Morocco,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,40,FALSE,0,FALSE,0,FALSE,9606.951,0,9606.951,0,FALSE,TRUE
C,A,20010101,2001,52,2001,508,MOZ,Mozambique,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,18267,TRUE,-1,N/A,,FALSE,18267,TRUE,,FALSE,4862,,4862,6,FALSE,FALSE
C,A,20010101,2001,52,2001,512,OMN,Oman,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,505686,FALSE,-1,N/A,,FALSE,505686,FALSE,,FALSE,599784,,599784,0,FALSE,FALSE
C,A,20010101,2001,52,2001,516,NAM,Namibia,M,Import,0,W00,World,0,W00,World,H1,HS,TRUE,271111,"Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7861293,FALSE,-1,N/A,,FALSE,7861293,FALSE,,FALSE,1457268,,1457268,0,FALSE,FALSE
