TerminalID,ProjectID,Wiki,TerminalName,UnitName,FacilityType,Status,Country,Owner,Parent,Capacity,CapacityUnits,CapacityInMtpa,CapacityInBcm/y,StartYear1,StartMonth1,StartYear2,StartYear3,StopYear,ShelvedYear,CancelledYear,Location,Region,LastUpdated,问题类型,优先级
T1100,0,https://www.gem.wiki/Terneuzen_FSRU,Terneuzen FSRU,,Import,Cancelled,Netherlands,Gasunie [100.00%],Gasunie [100.00%],,,--,--,2023.0,,,,,,2023.0,Port of Terneuzen,Europe,2024/9/10,CapacityInBcm/y缺失(--),LOW
T1078,0,https://www.gem.wiki/GEIL_FSRU,GEIL FSRU,,Import,Cancelled,Pakistan,GEIL [100.00%],GEIL [100.00%],,,--,--,2017.0,,,,,,2022.0,Port Qasim,Asia,2024/6/28,CapacityInBcm/y缺失(--),LOW
T0854,1,https://www.gem.wiki/Telfers_FSRU,Telfers FSRU,,Import,Cancelled,Panama,LNG Group Panama [100.00%],LNG Group Panama [100.00%],,,--,--,,,,,,,,Colon,Americas,2024/9/13,CapacityInBcm/y缺失(--),LOW
T0305,0,https://www.gem.wiki/Bataan-Manila_LNG_Terminal,Bataan-Manila LNG Terminal,,Import,Cancelled,Philippines,Philippine National Oil Company [100.00%],Philippine National Oil Company [100.00%],,,--,--,2020.0,,,,,2018.0,2020.0,Limay,Asia,2024/7/15,CapacityInBcm/y缺失(--),LOW
T0306,0,https://www.gem.wiki/Batangas_LNG_Terminal,Batangas LNG Terminal (PNOC),,Import,Cancelled,Philippines,Philippine National Oil Company [100.00%],Philippine National Oil Company [100.00%],,,--,--,2020.0,,,,,,2019.0,Batangas,Asia,2024/7/15,CapacityInBcm/y缺失(--),LOW
T0889,0,https://www.gem.wiki/Singapore_Offshore_LNG_Terminal,Singapore Offshore LNG Terminal,,Import,Cancelled,Singapore,Singapore Energy Market Authority [100.00%],Singapore Energy Market Authority [100.00%],,,--,--,,,,,,2022.0,,,Asia,7/15/2024,CapacityInBcm/y缺失(--),LOW
T0635,0,https://www.gem.wiki/Bradwood_Landing_LNG_Terminal,Bradwood Landing LNG Terminal,,Import,Cancelled,United States,Northern Star Natural Gas [100.00%],Northern Star Natural Gas [100.00%],,,--,--,,,,,,,2010.0,Bradwood,Americas,2024/7/8,CapacityInBcm/y缺失(--),LOW
T0848,0,https://www.gem.wiki/Port_Esperanza_FSRU,Port Esperanza FSRU,,Import,Cancelled,United States,Esperanza Energy LLC [100.00%],Tidelands Oil & Gas Corp [100.00%],,,--,--,,,,,,2009.0,2011.0,Long Beach,Americas,2024/7/8,CapacityInBcm/y缺失(--),LOW
T0649,0,https://www.gem.wiki/Quoddy_Bay_LNG_Terminal,Quoddy Bay LNG Terminal,,Import,Cancelled,United States,Quoddy Bay LNG [100.00%],Quoddy Bay LNG [100.00%],,,--,--,,,,,,2010.0,2012.0,Pleasent Point,Americas,2024/7/8,CapacityInBcm/y缺失(--),LOW
T0902,0,https://www.gem.wiki/Chan_May_LNG_Terminal,Chan May LNG Terminal,,Import,Cancelled,Vietnam,Chan May LNG [100.00%],Chan May LNG [100.00%],,,--,--,2024.0,,,,,2022.0,2024.0,Chan May,Asia,2024/7/16,CapacityInBcm/y缺失(--),LOW
T1083,0,https://www.gem.wiki/Antigua_Power_LNG_Terminal,Antigua Power LNG Terminal,,Import,Construction,Antigua and Barbuda,Caribbean LNG [100.00%],Antigua Power Co Ltd [50.00%]; Eagle LNG Partners [50.00%],,,--,--,2024.0,,,,,,,Crabbs,Americas,2024/9/4,CapacityInBcm/y缺失(--),MEDIUM
T1116,0,https://www.gem.wiki/Aruba_LNG_Terminal,Aruba LNG Terminal,,Import,Proposed,Aruba,Eagle LNG Partners Jacksonville LLC [unknown %]; WEB Aruba NV [unknown %],The Energy & Minerals Group [unknown %]; Utilities Aruba NV [unknown %],,,--,--,,,,,,,,San Nicolas,Americas,2024/9/4,CapacityInBcm/y缺失(--),MEDIUM
T0928,0,https://www.gem.wiki/Geramar_FSRU,Geramar FSRU,,Import,Proposed,Brazil,unknown [unknown %],unknown [unknown %],,,--,--,2026.0,,,,,,,Porto de Itaqui,Americas,2024/8/29,CapacityInBcm/y缺失(--),MEDIUM
T0931,0,https://www.gem.wiki/Itacoatiara_FSRU,Itacoatiara FSRU,,Import,Shelved,Brazil,TISA (Termelétrica Itacoatiara SA) [100.00%],Grupo Dislub Equador SA [50.00%]; Vitol [50.00%],5.11,bcm/y,3.76,5.11,,,,,,,,Itacoatiara,Americas,2024/9/13,StartYear1缺失-需确定启动时间,MEDIUM
T0932,0,https://www.gem.wiki/Paran%C3%A1_FSRU,Paraná FSRU,,Import,Shelved,Brazil,Copel [unknown %]; Shell [unknown %],Copel [unknown %]; Shell [unknown %],5.11,bcm/y,3.76,5.11,,,,,,,,Pontal do Paraná,Americas,2024/9/13,StartYear1缺失-需确定启动时间,MEDIUM
T1166,0,https://www.gem.wiki/Botum_Sakor_LNG_Terminal,Botum Sakor LNG Terminal,,Import,Proposed,Cambodia,Government of Cambodia [100.00%],Government of Cambodia [100.00%],,,--,--,,,,,,,,Botum Sakor,Asia,2024/7/12,CapacityInBcm/y缺失(--),MEDIUM
T0673,0,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T0,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Marathon,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,1,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T1,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Terrace Bay,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,2,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T2,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Schreiber,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,3,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T3,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Manitouwadge,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0673,4,https://www.gem.wiki/North_Shore_LNG_Terminal,North Shore LNG Terminal,T4,Import,Proposed,Canada,North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],North Shore LNG Project [unknown %]; Northeast Midstream LP [unknown %],,,--,--,,,,,,2022.0,,Wawa,Americas,2024/9/9,CapacityInBcm/y缺失(--),MEDIUM
T0716,0,https://www.gem.wiki/Talcahuano_FSRU,Talcahuano FSRU,,Import,Shelved,Chile,Inversiones GNL Talcahuano SpA [100.00%],Inversiones GNL Talcahuano SpA [100.00%],2.3,mtpa,2.3,3.13,,,,,,,,,Americas,2024/9/13,StartYear1缺失-需确定启动时间,MEDIUM
T0377,1,https://www.gem.wiki/Chaozhou_LNG_Terminal_(Huafeng),Chaozhou LNG Terminal (Huafeng),Expansion,Import,Shelved,China,Guangdong Huafeng Zhongtian LNG Co Ltd [100.00%],"Zhongxing Tianheng Energy Technology (Beijing) Co., Ltd. [55.00%]; Chaozhou Huafeng Group Co Ltd [44.70%]; other [0.30%]",3.0,mtpa,3,4.08,,,,,,2021.0,,Raoping SuochengTown,Asia,2024/2/14,StartYear1缺失-需确定启动时间,MEDIUM
