year,reporter,reporter_name,partner,partner_name,flow,flow_name,product_code,product_name,trade_value_raw_usd
2004,JPN,Japan,NZL,New Zealand,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",11540958.0
2004,JPN,Japan,OMN,Oman,X,Export,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",12458.0
2004,JPN,Japan,OMN,Oman,M,Import,2709,Petroleum oils and oils obtained from bituminous minerals; crude,1281328630.0
2004,JPN,Japan,OMN,Oman,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",7586193.0
2004,JPN,Japan,OMN,Oman,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",630699.0
2004,JPN,Japan,OMN,Oman,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,325782253.0
2004,JPN,Japan,PAK,Pakistan,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",19300421.0
2004,JPN,Japan,PAK,Pakistan,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",404070.0
2004,JPN,Japan,PAN,Panama,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",7613.0
2004,JPN,Japan,PAN,Panama,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",12680.0
2004,JPN,Japan,PHL,Philippines,X,Export,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",3163.0
2004,JPN,Japan,PHL,Philippines,M,Import,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",61113511.0
2004,JPN,Japan,PHL,Philippines,X,Export,2710,"Petroleum oils and oils from bituminous minerals, not crude; preparations n.e.c. containing by weight 70% or more of petroleum oils or oils from bituminous minerals; these being the basic constituents of the preparations; waste oils",95814137.0
2004,JPN,Japan,PHL,Philippines,M,Import,2711,Petroleum gases and other gaseous hydrocarbons,71521.0
2004,JPN,Japan,PHL,Philippines,X,Export,2711,Petroleum gases and other gaseous hydrocarbons,5568.0
