year,country_name,ppr_us_export_influence,ppr_influence_on_us
2001,GIN,0.00037628449334495886,0.09467455702134453
2001,ESH,4.419926871968213e-12,9.037866132864214e-05
2001,ZAF,0.0013869560985876627,0.10792896457919483
2001,VGB,0.0003610054342655453,0.08677961281833914
2001,SCG,0.003012232297912295,0.07641193566691323
2001,PNG,0.0002735376035782065,0.07137195320801838
2001,AGO,0.00023801439192579728,0.1863055197532443
2001,ITA,0.015330797818736546,0.12093126005480168
2001,F19,0.00032503520038036627,0.10274368710213765
2001,LSO,8.730167564444407e-06,0.09259496563348918
2001,X1 ,0.005611799001598191,0.16100428942956527
2001,BRA,0.014141641562953007,0.2149034493985386
2001,ALB,7.474864652703262e-05,0.09930599327416986
2001,AFG,9.457338317980111e-06,0.09328484778609893
2001,MNP,7.612215003021559e-05,9.037866132864214e-05
